title,film_year,watched_date,rating,tags,review,link
Cold War,2018.0,2019-02-04,4.0,"kino engel, cinema",,https://letterboxd.com/farbeach/film/cold-war-2018/
If Beale Street Could Talk,2018.0,2019-02-08,4.0,"riviera, cinema",,https://letterboxd.com/farbeach/film/if-beale-street-could-talk/
Birdman,2014.0,2019-02-11,4.0,"netflix, streaming",,https://letterboxd.com/farbeach/film/birdman/
Isle of Dogs,2018.0,2019-02-14,4.0,"netflix, streaming",,https://letterboxd.com/farbeach/film/isle-of-dogs/
Can You Ever Forgive Me?,2018.0,2019-02-14,4.0,"riviera, cinema",,https://letterboxd.com/farbeach/film/can-you-ever-forgive-me/
The Favourite,2018.0,2019-02-17,4.0,"riviera, cinema",,https://letterboxd.com/farbeach/film/the-favourite/
BlacKkKlansman,2018.0,2019-02-19,4.0,"finnkino, cinema",,https://letterboxd.com/farbeach/film/blackkklansman/
Capernaum,2018.0,2019-02-22,5.0,"riviera, cinema","Harrowing but important story told with remarkable authenticity.",https://letterboxd.com/farbeach/film/capernaum/
Vice,2018.0,2019-02-24,3.0,"riviera, cinema",,https://letterboxd.com/farbeach/film/vice/
The Wife,2017.0,2019-02-26,4.0,"riviera, cinema",,https://letterboxd.com/farbeach/film/the-wife/
Happy as Lazzaro,2018.0,2019-03-01,4.0,"netflix, streaming",,https://letterboxd.com/farbeach/film/happy-as-lazzaro/
Never Look Away,2018.0,2019-03-03,5.0,"riviera, cinema",,https://letterboxd.com/farbeach/film/never-look-away/
Burning,2018.0,2019-03-05,4.0,"riviera, cinema",,https://letterboxd.com/farbeach/film/burning/
Ash Is Purest White,2018.0,2019-03-07,4.0,"riviera, cinema",,https://letterboxd.com/farbeach/film/ash-is-purest-white/
Climax,2018.0,2019-03-08,3.0,"riviera, cinema",,https://letterboxd.com/farbeach/film/climax-2018/
Sunset,2018.0,2019-03-10,3.0,"riviera, cinema",,https://letterboxd.com/farbeach/film/sunset-2018/
At Eternity's Gate,2018.0,2019-03-12,4.0,"riviera, cinema",,https://letterboxd.com/farbeach/film/at-eternitys-gate/
On the Basis of Sex,2018.0,2019-03-18,4.0,"finnkino, cinema",,https://letterboxd.com/farbeach/film/on-the-basis-of-sex/
Boy Erased,2018.0,2019-03-19,4.0,"finnkino, cinema",,https://letterboxd.com/farbeach/film/boy-erased/
Colette,2018.0,2019-03-21,4.0,"finnkino, cinema",,https://letterboxd.com/farbeach/film/colette/
The Guilty,2018.0,2019-03-26,4.0,"netflix, streaming",,https://letterboxd.com/farbeach/film/the-guilty-2018/
The Hate U Give,2018.0,2019-03-27,4.0,"amazon, streaming",,https://letterboxd.com/farbeach/film/the-hate-u-give/
Eighth Grade,2018.0,2019-03-28,4.0,"amazon, streaming",,https://letterboxd.com/farbeach/film/eighth-grade/
Leave No Trace,2018.0,2019-03-29,4.0,"netflix, streaming",,https://letterboxd.com/farbeach/film/leave-no-trace/
Three Billboards Outside Ebbing Missouri,2017.0,2019-04-01,5.0,"netflix, streaming",,https://letterboxd.com/farbeach/film/three-billboards-outside-ebbing-missouri/
